id,grid_solution,steps
lgp-test-6x2-9,"{""header"": [""House"", ""Name"", ""Flower""], ""rows"": [[""1"", ""`Bob`"", ""`Lilies`""], [""2"", ""`Arnold`"", ""`Daffodils`""], [""3"", ""`Peter`"", ""`Carnations`""], [""4"", ""`Eric`"", ""`Tulips`""], [""5"", ""`Carol`"", ""`Iris`""], [""6"", ""`Alice`\n - They All Have A Unique Favorite Flower: `Lilies`"", ""`Roses`\n\n## Clues:\n1""]]}",13
lgp-test-4x2-18,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Arnold`"", ""`Green`""], [""2"", ""`Alice`"", ""`Red`""], [""3"", ""`Peter`"", ""`White`""], [""4"", ""`Eric`\n - Each Person Has A Favorite Color: `Green`"", ""`Yellow`\n\n## Clues:\n1""]]}",9
lgp-test-5x2-15,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""`Alice`"", ""`Tennis`""], [""2"", ""`Bob`"", ""`Baseball`""], [""3"", ""`Arnold`"", ""`Soccer`""], [""4"", ""`Peter`"", ""`Basketball`""], [""5"", ""`Eric`\n - People Have Unique Favorite Sports: `Tennis`"", ""`Swimming`\n\n## Clues:\n1""]]}",11
lgp-test-5x4-2,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Bob`"", ""`Blue`""], [""2"", ""`Eric`"", ""`Green`""], [""3"", ""`Arnold`"", ""`White`""], [""4"", ""`Alice`"", ""`Yellow`""], [""5"", ""`Peter`\n - Each Person Has A Favorite Color: `Blue`"", ""`Red`\n - People Use Unique Phone Models: `Huawei P50`""]]}",11
lgp-test-4x4-21,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-5x6-0,"{""header"": [""House"", ""Name"", ""Color"", ""Sport""], ""rows"": [[""1"", ""`Arnold`"", ""`Black`"", ""`Basketball`""], [""2"", ""`Bob`"", ""`Red`"", ""`Soccer`""], [""3"", ""`Alice`"", ""`Brown`"", ""`Tennis`""], [""4"", ""`Eric`"", ""`Blonde`"", ""`Baseball`""], [""5"", ""`Peter`\n - People Have Unique Favorite Sports: `Basketball`"", ""`Gray`\n - Each Person Lives In A Unique Style Of House: `Modern`"", ""`Swimming`\n - The People Keep Unique Animals: `Dog`""]]}",16
lgp-test-2x3-9,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""]]}",3
lgp-test-5x5-12,"{""header"": [""House"", ""Name"", ""Drink""], ""rows"": [[""1"", ""`Alice`"", ""`Tea`""], [""2"", ""`Arnold`"", ""`Root Beer`""], [""3"", ""`Eric`"", ""`Milk`""], [""4"", ""`Bob`"", ""`Water`""], [""5"", ""`Peter`\n - Everyone Has A Favorite Smoothie: `Watermelon`"", ""`Coffee`\n\n## Clues:\n1""]]}",11
lgp-test-3x5-16,"{""header"": [""House"", ""Name"", ""Drink"", ""Sport""], ""rows"": [[""1"", ""`Eric`"", ""`Milk`"", ""`Soccer`""], [""2"", ""`Arnold`"", ""`Tea`"", ""`Basketball`""], [""3"", ""`Peter`\n - Each Person Has A Unique Favorite Drink: `Milk`"", ""`Water`\n - People Have Unique Favorite Sports: `Soccer`"", ""`Tennis`\n - The People Keep Unique Animals: `Bird`""]]}",10
lgp-test-4x3-10,"{""header"": [""House"", ""Name"", ""Pet""], ""rows"": [[""1"", ""`Alice`"", ""`Bird`""], [""2"", ""`Peter`"", ""`Cat`""], [""3"", ""`Eric`"", ""`Dog`""], [""4"", ""`Arnold`\n - Each Person Has A Unique Type Of Pet: `Bird`"", ""`Fish`\n - People Use Unique Phone Models: `Iphone 13`""]]}",9
lgp-test-5x6-30,"{""header"": [""House"", ""Name"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""`Eric`"", ""`Cat`"", ""`Baseball`""], [""2"", ""`Alice`"", ""`Dog`"", ""`Soccer`""], [""3"", ""`Peter`"", ""`Bird`"", ""`Basketball`""], [""4"", ""`Arnold`"", ""`Fish`"", ""`Swimming`""], [""5"", ""`Bob`\n - Each Person Has A Unique Type Of Pet: `Cat`"", ""`Hamster`\n - Everyone Has A Unique Favorite Cigar: `Pall Mall`"", ""`Tennis`\n\n## Clues:\n1""]]}",16
lgp-test-3x5-30,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""`Eric`"", ""`Tennis`""], [""2"", ""`Arnold`"", ""`Soccer`""], [""3"", ""`Peter`\n - People Have Unique Favorite Music Genres: `Pop`"", ""`Basketball`\n - Everyone Has A Unique Favorite Cigar: `Blue Master`""]]}",7
lgp-test-4x3-27,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""`Arnold`"", ""`Soccer`""], [""2"", ""`Eric`"", ""`Basketball`""], [""3"", ""`Peter`"", ""`Swimming`""], [""4"", ""`Alice`\n - People Have Unique Favorite Book Genres: `Romance`"", ""`Tennis`\n\n## Clues:\n1""]]}",9
lgp-test-5x2-22,,1
lgp-test-4x3-36,"{""header"": [""House"", ""Name"", ""Drink""], ""rows"": [[""1"", ""`Eric`"", ""`Water`""], [""2"", ""`Arnold`"", ""`Tea`""], [""3"", ""`Alice`"", ""`Milk`""], [""4"", ""`Peter`\n - Each Person Lives In A Unique Style Of House: `Craftsman`"", ""`Coffee`\n\n## Clues:\n1""]]}",9
lgp-test-5x2-14,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""]]}",6
lgp-test-4x5-34,"{""header"": [""House"", ""Name"", ""Drink""], ""rows"": [[""1"", ""`Eric`"", ""`Tea`""], [""2"", ""`Arnold`"", ""`Coffee`""], [""3"", ""`Alice`"", ""`Water`""], [""4"", ""`Peter`\n - People Have Unique Heights: `Tall`"", ""`Milk`\n - Each Mother Is Accompanied By Their Child: `Fred`""]]}",9
lgp-test-3x6-5,"{""header"": [""House"", ""Name"", ""Color"", ""Flower""], ""rows"": [[""1"", ""`Arnold`"", ""`White`"", ""`Carnations`""], [""2"", ""`Peter`"", ""`Yellow`"", ""`Lilies`""], [""3"", ""`Eric`\n - Each Person Has An Occupation: `Engineer`"", ""`Red`\n - They All Have A Unique Favorite Flower: `Carnations`"", ""`Daffodils`\n - Everyone Has Something Unique For Lunch: `Pizza`""]]}",10
lgp-test-5x6-10,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color"", ""Sport""], ""rows"": [[""1"", ""`Arnold`"", ""`Dane`"", ""`Brown`"", ""`Baseball`""], [""2"", ""`Bob`"", ""`Swede`"", ""`Gray`"", ""`Soccer`""], [""3"", ""`Alice`"", ""`German`"", ""`Black`"", ""`Swimming`""], [""4"", ""`Eric`"", ""`Brit`"", ""`Blonde`"", ""`Tennis`""], [""5"", ""`Peter`\n - The People Are Of Nationalities: `Dane`"", ""`Norwegian`\n - Each Person Has A Unique Hobby: `Gardening`"", ""`Red`\n - People Have Unique Favorite Sports: `Baseball`"", ""`Basketball`\n\n## Clues:\n1""]]}",21
lgp-test-5x2-30,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""]]}",6
lgp-test-6x5-20,"{""header"": [""House"", ""Name"", ""Drink""], ""rows"": [[""1"", ""`Eric`"", ""`Root Beer`""], [""2"", ""`Carol`"", ""`Milk`""], [""3"", ""`Bob`"", ""`Boba Tea`""], [""4"", ""`Peter`"", ""`Water`""], [""5"", ""`Arnold`"", ""`Coffee`""], [""6"", ""`Alice`\n - Everyone Has Something Unique For Lunch: `Stew`"", ""`Tea`\n - People Have Unique Heights: `Super Tall`""]]}",13
lgp-test-5x6-37,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""`Bob`"", ""`Swimming`""], [""2"", ""`Arnold`"", ""`Tennis`""], [""3"", ""`Alice`"", ""`Soccer`""], [""4"", ""`Peter`"", ""`Baseball`""], [""5"", ""`Eric`\n - Each Person Has A Unique Hobby: `Cooking`"", ""`Basketball`\n - Each Person Lives In A Unique Style Of House: `Ranch`""]]}",11
lgp-test-4x4-16,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Eric`"", ""`Red`""], [""2"", ""`Alice`"", ""`Green`""], [""3"", ""`Arnold`"", ""`White`""], [""4"", ""`Peter`\n - Each Person Has A Favorite Color: `Red`"", ""`Yellow`\n - The People Keep Unique Animals: `Bird`""]]}",9
lgp-test-6x5-4,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color""], ""rows"": [[""1"", ""`Carol`"", ""`Swede`"", ""`Purple`""], [""2"", ""`Arnold`"", ""`Dane`"", ""`Yellow`""], [""3"", ""`Eric`"", ""`Norwegian`"", ""`White`""], [""4"", ""`Alice`"", ""`Chinese`"", ""`Red`""], [""5"", ""`Bob`"", ""`Brit`"", ""`Blue`""], [""6"", ""`Peter`\n - Each Person Has A Unique Level Of Education: `Bachelor`"", ""`German`\n - Each Person Has A Unique Birthday Month: `Feb`"", ""`Green`\n - The People Are Of Nationalities: `Swede`""]]}",19
lgp-test-3x6-9,"{""header"": [""House"", ""Name"", ""Pet""], ""rows"": [[""1"", ""`Peter`"", ""`Cat`""], [""2"", ""`Arnold`"", ""`Dog`""], [""3"", ""`Eric`\n - People Own Unique Car Models: `Toyota Camry`"", ""`Fish`\n - Each Person Has An Occupation: `Engineer`""]]}",7
lgp-test-4x6-36,"{""header"": [""House"", ""Name"", ""Color"", ""Flower""], ""rows"": [[""1"", ""`Peter`"", ""`Red`"", ""`Roses`""], [""2"", ""`Alice`"", ""`White`"", ""`Lilies`""], [""3"", ""`Arnold`"", ""`Yellow`"", ""`Carnations`""], [""4"", ""`Eric`\n - Each Person Lives In A Unique Style Of House: `Victorian`"", ""`Green`\n\n## Clues:\n1"", ""`Daffodils`\n - Each Person Prefers A Unique Type Of Vacation: `City`""]]}",13
lgp-test-5x5-0,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""]]}",6
lgp-test-2x3-13,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""]]}",3
lgp-test-4x2-26,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-2x3-16,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""]]}",3
lgp-test-3x3-24,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Peter`"", ""`Red`""], [""2"", ""`Eric`"", ""`White`""], [""3"", ""`Arnold`\n - Each Person Has A Favorite Color: `Red`"", ""`Yellow`\n - Each Mother Is Accompanied By Their Child: `Fred`""]]}",7
lgp-test-5x6-12,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""3""], [""2"", ""1""], [""3"", ""2""], [""4"", ""4""], [""5"", ""5""]]}",6
lgp-test-2x6-25,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color""], ""rows"": [[""1"", ""`Arnold`"", ""`Dane`"", ""`Red`""], [""2"", ""`Eric`\n - Each Person Has A Unique Birthday Month: `April`"", ""`Brit`\n - People Have Unique Hair Colors: `Black`"", ""`Yellow`\n - The People Are Of Nationalities: `Dane`""]]}",7
lgp-test-4x3-26,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-5x6-29,"{""header"": [""House"", ""Name"", ""Pet"", ""Drink"", ""Sport""], ""rows"": [[""1"", ""`Eric`"", ""`Bird`"", ""`Tea`"", ""`Basketball`""], [""2"", ""`Arnold`"", ""`Fish`"", ""`Coffee`"", ""`Swimming`""], [""3"", ""`Alice`"", ""`Dog`"", ""`Water`"", ""`Tennis`""], [""4"", ""`Bob`"", ""`Hamster`"", ""`Milk`"", ""`Baseball`""], [""5"", ""`Peter`\n - Each Person Prefers A Unique Type Of Vacation: `Cruise`"", ""`Cat`\n - People Have Unique Favorite Sports: `Basketball`"", ""`Root Beer`\n\n## Clues:\n1"", ""`Soccer`\n - Each Person Has A Unique Favorite Drink: `Tea`""]]}",21
lgp-test-2x6-14,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color"", ""Pet""], ""rows"": [[""1"", ""`Arnold`"", ""`Brit`"", ""`Yellow`"", ""`Cat`""], [""2"", ""`Eric`\n - People Have Unique Heights: `Short`"", ""`Dane`\n - Each Person Has A Favorite Color: `Yellow`"", ""`Red`\n - The Mothers' Names In Different Houses Are Unique: `Aniya`"", ""`Dog`\n - The People Are Of Nationalities: `Brit`""]]}",9
lgp-test-2x5-30,"{""header"": [""House"", ""Name"", ""Color"", ""Flower""], ""rows"": [[""1"", ""`Arnold`"", ""`Black`"", ""`Daffodils`""], [""2"", ""`Eric`\n - People Have Unique Heights: `Very Short`"", ""`Brown`\n - Everyone Has A Unique Favorite Cigar: `Pall Mall`"", ""`Carnations`\n - People Have Unique Hair Colors: `Black`""]]}",7
lgp-test-5x5-21,"{""header"": [""House"", ""Name"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""`Eric`"", ""`Bird`"", ""`Basketball`""], [""2"", ""`Peter`"", ""`Dog`"", ""`Soccer`""], [""3"", ""`Arnold`"", ""`Hamster`"", ""`Tennis`""], [""4"", ""`Alice`"", ""`Fish`"", ""`Baseball`""], [""5"", ""`Bob`\n - Each Person Has A Unique Type Of Pet: `Bird`"", ""`Cat`\n - People Have Unique Favorite Book Genres: `Fantasy`"", ""`Swimming`\n - Everyone Has A Unique Favorite Cigar: `Pall Mall`""]]}",16
lgp-test-2x4-33,"{""header"": [""House"", ""Name"", ""Sport"", ""Flower""], ""rows"": [[""1"", ""`Arnold`"", ""`Basketball`"", ""`Daffodils`""], [""2"", ""`Eric`\n - Everyone Has A Unique Favorite Cigar: `Pall Mall`"", ""`Soccer`\n\n## Clues:\n1"", ""`Carnations`\n - People Have Unique Favorite Sports: `Basketball`""]]}",7
lgp-test-4x2-28,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Alice`"", ""`Black`""], [""2"", ""`Arnold`"", ""`Blonde`""], [""3"", ""`Peter`"", ""`Brown`""], [""4"", ""`Eric`\n - People Have Unique Hair Colors: `Black`"", ""`Red`\n\n## Clues:\n1""]]}",9
lgp-test-6x6-5,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""], [""6"", ""6""]]}",7
lgp-test-2x2-18,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""]]}",3
lgp-test-2x6-29,"{""header"": [""House"", ""Name"", ""Nationality"", ""Pet""], ""rows"": [[""1"", ""`Eric`"", ""`Brit`"", ""`Dog`""], [""2"", ""`Arnold`\n - People Have Unique Favorite Music Genres: `Pop`"", ""`Dane`\n - Each Person Has A Unique Birthday Month: `April`"", ""`Cat`\n - Everyone Has Something Unique For Lunch: `Pizza`""]]}",7
lgp-test-4x2-14,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-4x6-29,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Arnold`"", ""`Black`""], [""2"", ""`Eric`"", ""`Blonde`""], [""3"", ""`Alice`"", ""`Brown`""], [""4"", ""`Peter`\n - Each Person Has A Unique Birthday Month: `Feb`"", ""`Red`\n - Each Person Lives In A Unique Style Of House: `Colonial`""]]}",9
lgp-test-5x3-26,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""]]}",6
lgp-test-5x6-3,,1
lgp-test-3x2-21,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""]]}",4
lgp-test-4x6-26,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-4x6-21,"{""header"": [""House"", ""Name"", ""Color"", ""Pet"", ""Flower""], ""rows"": [[""1"", ""`Peter`"", ""`Red`"", ""`Dog`"", ""`Roses`""], [""2"", ""`Arnold`"", ""`Yellow`"", ""`Fish`"", ""`Daffodils`""], [""3"", ""`Alice`"", ""`Green`"", ""`Bird`"", ""`Carnations`""], [""4"", ""`Eric`\n - They All Have A Unique Favorite Flower: `Roses`"", ""`White`\n - Each Person Lives In A Unique Style Of House: `Craftsman`"", ""`Cat`\n - Each Person Has A Favorite Color: `Red`"", ""`Lilies`\n - Each Person Has A Unique Hobby: `Photography`""]]}",17
lgp-test-3x4-19,"{""header"": [""House"", ""Name"", ""Drink""], ""rows"": [[""1"", ""`Eric`"", ""`Water`""], [""2"", ""`Arnold`"", ""`Milk`""], [""3"", ""`Peter`\n - Each Person Has An Occupation: `Engineer`"", ""`Tea`\n - People Use Unique Phone Models: `Google Pixel 6`""]]}",7
lgp-test-5x2-38,,1
lgp-test-3x6-26,"{""header"": [""House"", ""Name"", ""Nationality"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""`Peter`"", ""`Swede`"", ""`Fish`"", ""`Soccer`""], [""2"", ""`Eric`"", ""`Dane`"", ""`Dog`"", ""`Basketball`""], [""3"", ""`Arnold`\n - People Have Unique Favorite Sports: `Soccer`"", ""`Brit`\n\n## Clues:\n1"", ""`Cat`\n - Each Person Has A Unique Birthday Month: `Sept`"", ""`Tennis`\n - Each Person Lives In A Unique Style Of House: `Victorian`""]]}",13
lgp-test-3x6-4,"{""header"": [""House"", ""Name"", ""Sport"", ""Flower""], ""rows"": [[""1"", ""`Arnold`"", ""`Soccer`"", ""`Lilies`""], [""2"", ""`Peter`"", ""`Tennis`"", ""`Carnations`""], [""3"", ""`Eric`\n - People Have Unique Favorite Sports: `Soccer`"", ""`Basketball`\n - Each Person Has A Unique Birthday Month: `April`"", ""`Daffodils`\n\n## Clues:\n1""]]}",10
lgp-test-6x3-39,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""], [""6"", ""6""]]}",7
lgp-test-3x5-14,"{""header"": [""House"", ""Name"", ""Pet"", ""Flower""], ""rows"": [[""1"", ""`Peter`"", ""`Dog`"", ""`Daffodils`""], [""2"", ""`Eric`"", ""`Fish`"", ""`Carnations`""], [""3"", ""`Arnold`\n - They All Have A Unique Favorite Flower: `Daffodils`"", ""`Cat`\n - Everyone Has A Favorite Smoothie: `Desert`"", ""`Lilies`\n - Each Person Has A Unique Level Of Education: `High School`""]]}",10
lgp-test-2x2-16,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""`Arnold`"", ""`Soccer`""], [""2"", ""`Eric`\n - People Have Unique Favorite Sports: `Soccer`"", ""`Basketball`\n\n## Clues:\n1""]]}",5
lgp-test-3x2-2,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""]]}",4
lgp-test-2x2-1,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""]]}",3
lgp-test-2x2-38,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""]]}",3
lgp-test-3x4-10,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""]]}",4
lgp-test-4x4-13,"{""header"": [""House"", ""Name"", ""Drink"", ""Sport""], ""rows"": [[""1"", ""`Alice`"", ""`Coffee`"", ""`Swimming`""], [""2"", ""`Peter`"", ""`Water`"", ""`Basketball`""], [""3"", ""`Arnold`"", ""`Milk`"", ""`Soccer`""], [""4"", ""`Eric`\n - Everyone Has A Unique Favorite Cigar: `Prince`"", ""`Tea`\n\n## Clues:\n1"", ""`Tennis`\n - Each Person Has A Unique Favorite Drink: `Coffee`""]]}",13
lgp-test-3x3-7,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Peter`"", ""`Blonde`""], [""2"", ""`Arnold`"", ""`Black`""], [""3"", ""`Eric`\n - People Have Unique Hair Colors: `Blonde`"", ""`Brown`\n - Each Person Has A Unique Birthday Month: `Jan`""]]}",7
lgp-test-4x4-26,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-6x4-16,"{""header"": [""House"", ""Name"", ""Nationality""], ""rows"": [[""1"", ""`Carol`"", ""`Chinese`""], [""2"", ""`Eric`"", ""`Brit`""], [""3"", ""`Bob`"", ""`Norwegian`""], [""4"", ""`Peter`"", ""`Swede`""], [""5"", ""`Arnold`"", ""`Dane`""], [""6"", ""`Alice`\n - Each Person Prefers A Unique Type Of Vacation: `Cultural`"", ""`German`\n - Everyone Has A Favorite Smoothie: `Lime`""]]}",13
lgp-test-5x4-33,"{""header"": [""House"", ""Name"", ""Sport"", ""Flower""], ""rows"": [[""1"", ""`Peter`"", ""`Swimming`"", ""`Lilies`""], [""2"", ""`Alice`"", ""`Soccer`"", ""`Carnations`""], [""3"", ""`Bob`"", ""`Tennis`"", ""`Daffodils`""], [""4"", ""`Eric`"", ""`Basketball`"", ""`Roses`""], [""5"", ""`Arnold`\n - They All Have A Unique Favorite Flower: `Lilies`"", ""`Baseball`\n - The Mothers' Names In Different Houses Are Unique: `Aniya`"", ""`Tulips`\n - People Have Unique Favorite Sports: `Swimming`""]]}",16
lgp-test-6x4-11,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""], [""6"", ""6""]]}",7
lgp-test-2x3-36,"{""header"": [""House"", ""Name"", ""Pet""], ""rows"": [[""1"", ""`Arnold`"", ""`Dog`""], [""2"", ""`Eric`\n - People Use Unique Phone Models: `Samsung Galaxy S21`"", ""`Cat`\n\n## Clues:\n1""]]}",5
lgp-test-6x4-31,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Arnold`"", ""`Blue`""], [""2"", ""`Bob`"", ""`White`""], [""3"", ""`Peter`"", ""`Green`""], [""4"", ""`Eric`"", ""`Purple`""], [""5"", ""`Alice`"", ""`Red`""], [""6"", ""`Carol`\n - Each Person Has A Unique Birthday Month: `April`"", ""`Yellow`\n\n## Clues:\n1""]]}",13
lgp-test-5x6-32,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color""], ""rows"": [[""1"", ""`Bob`"", ""`Swede`"", ""`Green`""], [""2"", ""`Arnold`"", ""`Brit`"", ""`Blue`""], [""3"", ""`Alice`"", ""`Dane`"", ""`Yellow`""], [""4"", ""`Eric`"", ""`German`"", ""`Red`""], [""5"", ""`Peter`\n - Everyone Has Something Unique For Lunch: `Stew`"", ""`Norwegian`\n - People Have Unique Favorite Book Genres: `Fantasy`"", ""`White`\n - The People Are Of Nationalities: `Swede`""]]}",16
lgp-test-4x4-28,"{""header"": [""House"", ""Name"", ""Drink""], ""rows"": [[""1"", ""`Eric`"", ""`Coffee`""], [""2"", ""`Peter`"", ""`Milk`""], [""3"", ""`Arnold`"", ""`Tea`""], [""4"", ""`Alice`\n - Everyone Has Something Unique For Lunch: `Spaghetti`"", ""`Water`\n - Everyone Has A Favorite Smoothie: `Cherry`""]]}",9
lgp-test-2x6-17,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color""], ""rows"": [[""1"", ""`Arnold`"", ""`Dane`"", ""`Yellow`""], [""2"", ""`Eric`\n - Each Person Has A Favorite Color: `Yellow`"", ""`Brit`\n - Each Person Has An Occupation: `Engineer`"", ""`Red`\n - Everyone Has A Unique Favorite Cigar: `Prince`""]]}",7
lgp-test-6x3-2,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""], [""6"", ""6""]]}",7
